session_id,user_id,session_timestamp,cart_value,checkout_status
dbf13758-134c-4453-a3b5-a9b3462bfa73,17404557-6b69-4aff-847a-8828710c461c,2026-03-09 11:16:17.193647,143.31,Abandoned
b34d962f-bf42-41c7-8cea-45f73405fad9,0525077e-f1da-4942-b892-155599acdc4b,2026-03-09 11:12:36.003872,126.87,Completed
8dd33326-db94-4924-be91-5ed9ea717aba,419896c9-227d-4288-95be-46f321807d02,2026-03-09 11:14:06.010555,344.51,Completed
ed9b1c62-6092-4247-961e-f275e90d01dc,89e39620-f6bf-48dc-b3b9-0ab594154ee8,2026-03-09 11:13:47.355866,255.02,Completed
9eeba2df-79ba-487f-8fff-be4c24d5b271,d3027615-40a5-4b7f-be8d-eb9428ca9271,2026-03-09 11:16:52.129637,286.86,Abandoned
47b92e44-7512-47ea-91e3-a84c91bb6933,4cbc08aa-9b1f-4fdd-b4f6-da0838cd4772,2026-03-09 11:16:30.611815,85.01,Completed
a6c19cbb-4008-4b93-b0c9-c654562464d4,4e9481cc-0652-4d8b-a386-64636e7ff345,2026-03-09 11:17:48.184644,383.35,Completed
6a4cb062-0e8c-4b22-8295-a42c99ba3bcd,a84092ea-626b-43a8-9bb0-2be6be093ab0,2026-03-09 11:12:58.297980,471.11,Completed
5c086731-f647-4619-bf4e-d22d46665e03,0e5c0c6e-eabd-498b-b120-7fe46e449164,2026-03-09 11:14:58.891855,457.22,Completed
19cd2edc-8bae-45e2-86d6-d3aadeda646e,38bd036d-19aa-471f-b552-8d000fdd3f94,2026-03-09 11:12:37.726999,26.83,Completed
746f26d9-8039-4c73-be41-27688aef7fcb,c07e990b-ae5a-4536-b654-07f2d699d6f7,2026-03-09 11:13:45.709671,434.01,Abandoned
e6a104f4-8753-474f-8d87-1bbeb83f564d,332194b3-ff7a-4861-8869-027d83cc6ab8,2026-03-09 11:15:28.927904,417.41,Completed
05df689d-3515-4d2e-b626-2bf31435f083,a21ea074-09e1-4a9c-b5db-bd4b5bdb3de1,2026-03-09 11:12:36.552949,238.15,Abandoned
2c4e9410-a401-41d1-949b-2cc064a325e1,3c23a45c-ccab-4c8a-8e40-f33a40868f64,2026-03-09 11:13:38.581554,223.28,Abandoned
aaa6c0b8-63e9-48b5-930e-5c53f963cbe2,02488689-a358-4d73-858d-2067505ab87a,2026-03-09 11:16:20.958398,296.54,Completed
727d2594-7018-4f77-9438-dd2da88b22b3,2b22fa2b-f2e2-45b0-b35c-2e8a4a73d951,2026-03-09 11:15:43.178933,450.48,Completed
03072a81-8ba0-4fe5-9dfd-25d5f1e75176,46182861-fa1a-4764-a10d-bd514e66ddb2,2026-03-09 11:13:46.358624,256.11,Completed
af327e31-d927-47e9-b607-79039f5d37e0,b4df8af2-86a2-4a59-b44e-c3b52a05829e,2026-03-09 11:15:59.135646,261.41,Completed
14be2601-f653-4fab-b38f-2a85ab6b8bfd,5379b1ac-64b8-4a58-9dc2-922de1065453,2026-03-09 11:17:18.394964,93.4,Completed
b8cbaba8-29e5-442e-8391-38aa4356fd98,cdf7ef85-7061-4bd9-a6cb-0ed68392b178,2026-03-09 11:12:29.339554,97.54,Completed
4544a843-b0e9-4e10-bf7a-c7505d385c5a,aad1176c-49af-4098-bec4-fd7e39bb328f,2026-03-09 11:17:17.094931,470.44,Completed
388e409c-f951-4daa-9e44-565b6f959646,c6fe2dea-88c2-4db5-a82e-7dceb684582d,2026-03-09 11:16:38.330182,50.32,Completed
0a1ba355-48eb-4d53-bb70-4540f7e38732,20eafde3-649e-41b4-8bd5-29ccd774ba74,2026-03-09 11:14:29.490186,139.6,Completed
57a71ced-8390-4783-9415-89a89479b6ac,ba57ba2e-bc7d-4da4-b970-9857cbcee9e0,2026-03-09 11:13:22.972620,275.6,Completed
1aa558fc-0f9e-4af2-bc5f-e66cb6756b71,ea3613cd-4e94-468d-8a5c-02cb7928076d,2026-03-09 11:18:11.596706,379.96,Completed
73593d0d-42cc-4e1e-aa14-6cb86d8a5e5f,5f3be4f8-d2b5-4a9c-a69b-dfdb56b05d01,2026-03-09 11:14:28.174036,172.99,Completed
530f6551-7515-48b2-b84a-300c640c4c6a,6f8d27a2-00a5-4b0a-8026-49bdb9f5c3bd,2026-03-09 11:13:00.388504,181.98,Completed
05dfdae6-bab3-406b-b65c-676723201140,2942393f-534a-41d0-9eba-2f32f187ff8d,2026-03-09 11:13:01.817896,280.35,Completed
69d5f5ae-cdb2-4a93-9548-8c1dce4226ce,aa369770-42b9-4890-8efb-9b2fa574e930,2026-03-09 11:17:32.097972,315.83,Completed
a583de1b-eb88-4d11-aed2-354009f2510a,be76525f-117b-4196-926f-b145b94976c6,2026-03-09 11:16:04.341371,310.99,Abandoned
86afedea-e835-4acc-b352-3ab5ac08d915,ba07c6b0-17ca-4dc5-9cb3-681f9edc81a3,2026-03-09 11:17:17.566178,310.92,Completed
afe642d1-f08b-4ba4-b5c0-79342fa5e07c,f4ef9830-828a-4b5e-9888-c4ed3482b9ec,2026-03-09 11:16:49.703443,395.18,Abandoned
